Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.48958,96,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/st/app/whatsapp-business/id1386412985?uo=4
2,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.32075,53,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,capcut,alibabacom,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/st/app/capcut-photo-video-editor/id1500855883?uo=4
3,Duolingo - Language Lessons,Trending,Duolingo,Education,4.68132,91,2012-11-13,Free,duolingo,language,learn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,duolingo abc,focuswarduolingo pomodoro,language learning,and learn,focuswarduolingo,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/st/app/duolingo-language-lessons/id570060128?uo=4
4,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.70833,72,2012-06-02,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber eats,rides food,affordable rides,uber,ride,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/st/app/uber-request-a-ride/id368677368?uo=4
5,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.43607,571,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/st/app/tiktok-videos-music-live/id835599320?uo=4
6,Tamara Partners,Trending,Tamara FZE,Business,1.0,1,2024-07-02,Free,tamara,payment,store,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tamara lebanese,tamara partners,tamara app,tamara,curhat asmara,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/st/app/tamara-partners/id1595992375?uo=4
7,Binance: Buy Bitcoin & Crypto,Trending,Binance Switzerland AG,Finance,5.0,21,2018-10-06,Free,binance,trading,risk,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,toys trading,capitalcom trading,tradingview track,risklimiter installer,risk global,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/st/app/binance-buy-bitcoin-crypto/id1436799971?uo=4
8,VPN Hotspot Shield: Super VPN,Trending,AnchorFree Inc.,Productivity,4.5,4,2012-06-03,Free,vpn,hotspot,shield,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hotspot vpn,hotspot shield,hotspot proxy,secure hotspot,vpn hotspot,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/st/app/vpn-hotspot-shield-super-vpn/id443369807?uo=4
9,InShot - Video Editor,Trending,SHANTANU PTE. LTD.,Photo & Video,4.69136,81,2015-06-11,Free,inshot,video,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,inshot,perfect face,you look,faceapp perfect,gradient you,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/st/app/inshot-video-editor/id997362197?uo=4
10,Threads,Trending,"Instagram, Inc.",Social Networking,4.36735,49,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,clean tweetsthreads,unicorn https,https traffic,instagram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/st/app/threads/id6446901002?uo=4
11,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.28571,14,2019-03-16,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https traffic,snapchat chat,chat with,https,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/st/app/ometv-video-chat-alternative/id1252974010?uo=4
12,"Picsart AI Photo, Video Editor",Trending,"PicsArt, Inc.",Photo & Video,4.69231,39,2013-01-02,Free,ai,create,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,create quizzes,create,your story,choose your,maker studio,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/st/app/picsart-ai-photo-video-editor/id587366035?uo=4
13,DramaWave - Dramas & Reels,Trending,SKYWORK AI PTE LTD,Entertainment,5.0,1,2024-10-02,Free,drama,dramawave,dramas,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,drama movies,asian drama,stream drama,drama shorts,watch dramas,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/st/app/dramawave-dramas-reels/id6670430706?uo=4
