Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: compra como millonario,Trending,Temu,Shopping,4.76948,2130,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,amazon compras,alibabacom b2b,temu,100,100,100,100,90,https://apps.apple.com/sv/app/temu-compra-como-millonario/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.88668,12522,2023-05-30,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,videos,ringtune,google chrome,picsart ia,100,90,90,75,75,https://apps.apple.com/sv/app/chatgpt/id6448311069?uo=4
3,Demus: Streaming de Música,Trending,Simon Zvara,Music,5.0,1,2024-01-30,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,como tus,tus amigos,videos,google chrome,picsart ia,100,100,90,75,75,https://apps.apple.com/sv/app/demus-streaming-de-m%C3%BAsica/id6474685600?uo=4
4,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.68527,200,2022-08-07,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/sv/app/reelshort-stream-drama-tv/id1636235979?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.66589,3011,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,con amigos,snapchat conecta,grfico con,conecta con,for instagram,100,100,100,100,100,https://apps.apple.com/sv/app/threads/id6446901002?uo=4
6,Google,Trending,Google,Utilities,4.69685,7630,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,google fotos,videos,100,100,100,100,90,https://apps.apple.com/sv/app/google/id284815942?uo=4
7,CapCut - Editor de videos,Trending,Bytedance Pte. Ltd,Photo & Video,4.4778,3491,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,capcut,google chrome,picsart ia,ia editor,90,90,75,75,75,https://apps.apple.com/sv/app/capcut-editor-de-videos/id1500855883?uo=4
8,Google Maps,Trending,Google,Navigation,4.77982,19848,2013-07-17,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,con amigos,snapchat conecta,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/sv/app/google-maps/id585027354?uo=4
9,Netflix,Trending,"Netflix, Inc.",Entertainment,4.7699,11434,2011-12-14,Gratis,de,netflix,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,netflix,google chrome,picsart ia,ia editor,90,90,75,75,75,https://apps.apple.com/sv/app/netflix/id363590051?uo=4
10,inDrive - Viajes y Envíos,Trending,SUOL INNOVATIONS LTD,Travel,4.8707,26265,2013-12-20,Gratis,de,el,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,clans,clash,google chrome,picsart ia,90,90,90,75,75,https://apps.apple.com/sv/app/indrive-viajes-y-env%C3%ADos/id780125801?uo=4
11,Canva: Diseño gráfico con IA,Trending,Canva,Photo & Video,4.88019,27042,2014-10-15,Gratis,de,para,el,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/sv/app/canva-dise%C3%B1o-gr%C3%A1fico-con-ia/id897446215?uo=4
12,yope: photo wall with friends,Trending,"Salo App, Inc.",Lifestyle,4.57948,497,2022-06-01,Gratis,friends,yope,wall,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yope photo,photo wall,wall with,chargewall fondos,yope,100,100,100,100,90,https://apps.apple.com/sv/app/yope-photo-wall-with-friends/id1600195477?uo=4
13,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.96846,539,2013-08-14,Gratis,de,en,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/sv/app/telegram-messenger/id686449807?uo=4
14,El correo electr. de Google,Trending,Google,Productivity,4.82462,7652,2011-11-02,Gratis,de,con,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,con amigos,snapchat conecta,grfico con,conecta con,100,100,100,100,100,https://apps.apple.com/sv/app/el-correo-electr-de-google/id422689480?uo=4
15,YouTube,Trending,Google,Photo & Video,4.62826,110940,2012-09-11,Gratis,de,la,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,clans,clash,google chrome,picsart ia,90,90,90,75,75,https://apps.apple.com/sv/app/youtube/id544007664?uo=4
16,"Max: HBO, Series y Películas",Trending,"WarnerMedia Global Digital Services, LLC",Entertainment,4.88082,14769,2024-02-27,Gratis,de,la,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,clans,clash,google chrome,picsart ia,90,90,90,75,75,https://apps.apple.com/sv/app/max-hbo-series-y-pel%C3%ADculas/id1666653815?uo=4
