Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.86942,291,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest version,chatgpt,latest,for kids,masha and,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/tc/app/chatgpt/id6448311069?uo=4
2,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,road fun,hit color,video creator,3d hit,snake rise,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tc/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
3,Google - More ways to search,Trending,Google,Utilities,4.57317,82,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,word search,job search,vintage camera,camera studio,camera remote,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tc/app/google-more-ways-to-search/id284815942?uo=4
4,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.91667,36,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,grammar inuse,use with,telegram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tc/app/telegram-messenger/id686449807?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.68992,129,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,for threads,unicorn https,instagrambeat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tc/app/threads/id6446901002?uo=4
6,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.66667,63,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tc/app/temu-shop-like-a-billionaire/id1641486558?uo=4
7,Google Maps,Trending,Google,Navigation,4.67914,374,2016-09-19,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,navigation maps,mapsme offline,offline maps,maps gps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tc/app/google-maps/id585027354?uo=4
8,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.68241,529,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,friends,snapchat chat,chat with,capitalcom trading,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/tc/app/snapchat-chat-with-friends/id447188370?uo=4
9,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.75,12,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,biometric agreement,behavior agreement,tenancy agreement,agreement clause,legal agreement,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tc/app/netshort-popular-dramas-tv/id6504849169?uo=4
10,YouTube,Trending,Google,Photo & Video,4.62564,4525,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,safe youtube,youtube music,youtube kids,youtube video,youtube studio,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tc/app/youtube/id544007664?uo=4
