Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.82609,23,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,tenancy agreement,netshort,agreement,reels short,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/td/app/netshort-popular-dramas-tv/id6504849169?uo=4
2,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.42386,5549,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp business,whatsapp messenger,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/whatsapp-business/id1386412985?uo=4
3,"Xender: File Share,Share Music",Trending,Xender Team,Utilities,4.06555,656,2014-08-03,Free,transfer,xender,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money transfer,shareit transfer,transfer share,xender file,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/xender-file-share-share-music/id898129576?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.52968,657,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/google-more-ways-to-search/id284815942?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.4748,992,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/capcut-photo-video-editor/id1500855883?uo=4
6,YouTube,Trending,Google,Photo & Video,4.48836,7775,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube studio,videos music,lakelitavailable ebooks,youtube,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/td/app/youtube/id544007664?uo=4
7,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.48461,5392,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,your friends,with friends,snapchat chat,for snapchat,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/snapchat-chat-with-friends/id447188370?uo=4
8,ChatGPT,Trending,OpenAI,Productivity,4.69875,1766,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for chatgpt,web latest,latest version,chatgpt,latest,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/td/app/chatgpt/id6448311069?uo=4
9,Google Maps,Trending,Google,Navigation,4.63164,1504,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,real match,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/google-maps/id585027354?uo=4
10,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.54857,6187,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,videos music,connect mena,bein connect,proxy connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/instagram/id389801252?uo=4
11,Threads,Trending,"Instagram, Inc.",Social Networking,4.56633,392,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,https traffic,https guard,unicorn https,instagram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/td/app/threads/id6446901002?uo=4
12,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.6197,7991,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/tiktok-videos-music-live/id835599320?uo=4
13,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.46453,9347,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,facebook,stock investing,videoget downloader,video maker,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/td/app/facebook/id284882215?uo=4
14,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.34069,14767,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp business,whatsapp messenger,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/whatsapp-messenger/id310633997?uo=4
15,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.49687,479,2012-06-03,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,from truecaller,truecaller caller,spam blocker,spam call,call blocker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/truecaller-caller-id-block/id448142450?uo=4
16,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.92256,297,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,data sharing,use with,telegram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/td/app/telegram-messenger/id686449807?uo=4
17,SSME - 8K Live Wallpaper,Trending,忠 叶,Entertainment,0.0,0,2022-05-08,Free,subscription,wallpapers,service,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,rush for,controls for,premiere rush,for youtube,for video,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/td/app/ssme-8k-live-wallpaper/id1620679167?uo=4
18,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.42103,2862,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,snapchat chat,with friends,chat with,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/messenger/id454638411?uo=4
19,Google Chrome,Trending,Google,Utilities,4.58362,574,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for chrome,google chrome,chrome and,chrome valley,google maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/td/app/google-chrome/id535886823?uo=4
