Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.89914,322850,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,the bear,and the,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/th/app/chatgpt/id6448311069?uo=4
2,ThaID,Trending,dopa-bora,Utilities,2.11226,6645,2020-11-22,Free,ท,นต,จ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,eraser background,photo editor,background editor,no1 mobile,magic eraser,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/th/app/thaid/id1533612248?uo=4
3,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.19412,18947,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,alibabacom b2b,bookingcom travel,tripcom flight,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/th/app/temu-shop-like-a-billionaire/id1641486558?uo=4
4,Be My Eyes,Trending,Be My Eyes,Lifestyle,4.88235,391,2014-09-24,Free,eyes,ai,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,eyes horror,eyes,eagleeyeslite,perfect365 makeup,photo editor,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/th/app/be-my-eyes/id905177575?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.77095,94817,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https catcher,https,1111 faster,network debug,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/th/app/threads/id6446901002?uo=4
6,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.79488,82940,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https catcher,https,1111 faster,network debug,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/th/app/bolt-request-a-ride/id675033630?uo=4
7,กยศ. Connect,Trending,"Student Loan Fund, Thailand",Education,1.99815,4333,2020-06-21,Free,น,ท,กยศ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,drink water,banner pro,photo video,led banner,pinterest video,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/th/app/%E0%B8%81%E0%B8%A2%E0%B8%A8-connect/id1502704611?uo=4
8,Shopee 7.7 โปรเด็ด,Trending,SHOPEE THAILAND COMPANY LIMITED,Shopping,4.67605,1184345,2015-04-06,Free,ต,น,shopee,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,drink water,banner pro,photo video,led banner,pinterest video,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/th/app/shopee-7-7-%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%80%E0%B8%94-%E0%B8%94/id959841453?uo=4
9,BiliBili-Anime，Voice chats,Trending,BALABOOM PTE LTD,Entertainment,4.68009,42674,2021-04-30,Free,community,chats,minded,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,feeld openminded,triple minded,openminded dating,minded,openminded,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/th/app/bilibili-anime-voice-chats/id1548857482?uo=4
10,Google Gemini,Trending,Google,Productivity,4.85318,75982,2024-11-11,Free,gemini,google,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,google,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/th/app/google-gemini/id6477489729?uo=4
