Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.83798,5203,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,web latest,latest version,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tj/app/chatgpt/id6448311069?uo=4
2,Daryo: онлайн покупки,Trending,Fayzali Saidov,Shopping,2.98925,93,2025-04-15,Free,и,вы,daryo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cargoman,,,,,65.0,,,,,https://apps.apple.com/tj/app/daryo-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD-%D0%BF%D0%BE%D0%BA%D1%83%D0%BF%D0%BA%D0%B8/id6744142191?uo=4
3,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.75114,5706,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,videos,video editor,social network,network messenger,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/tj/app/tiktok-videos-music-live/id835599320?uo=4
4,VPNIFY - Unlimited VPN,Trending,Neonetworks solution ltd,Utilities,4.72527,1911,2020-07-31,Free,vpn,vpnify,unlimited,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,hotspot vpn,betternet vpn,vpn master,super vpn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/vpnify-unlimited-vpn/id1503251395?uo=4
5,WILDBERRIES,Trending,Wildberries OOO,Shopping,4.9085,1574,2013-02-06,Free,в,и,wildberries,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wildberries,rakhsh taxi,market online,yandex go,taxi food,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tj/app/wildberries/id597880187?uo=4
6,拼多多 - 多多买菜，百亿补贴,Trending,上海寻梦信息技术有限公司,Shopping,3.48551,138,2015-10-29,Free,拼多多,多多买菜,百亿补贴,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amap global,0 app,amap,global,,75.0,75.0,65.0,65.0,,https://apps.apple.com/tj/app/%E6%8B%BC%E5%A4%9A%E5%A4%9A-%E5%A4%9A%E5%A4%9A%E4%B9%B0%E8%8F%9C-%E7%99%BE%E4%BA%BF%E8%A1%A5%E8%B4%B4/id1044283059?uo=4
7,DC Next,Trending,Dushanbe City Bank,Finance,2.75245,1224,2021-10-09,Free,и,в,dc,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,rakhsh taxi,rakhsh,namazvdomcom,odnoklassniki,taxi,75.0,65.0,65.0,65.0,65.0,https://apps.apple.com/tj/app/dc-next/id1575124638?uo=4
8,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.18483,1055,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capcut,reelsapp reel,photo editor,funimate video,reels video,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tj/app/capcut-photo-video-editor/id1500855883?uo=4
9,Somon Объявления,Trending,Larixon Classifieds,Shopping,4.51586,1134,2016-11-28,Free,somon,объявления,квартир,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,somon air,rohi somon,somon,tarot astrology,rohi,100.0,100.0,90.0,75.0,65.0,https://apps.apple.com/tj/app/somon-%D0%BE%D0%B1%D1%8A%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F/id1176500586?uo=4
10,Threads,Trending,"Instagram, Inc.",Social Networking,4.73088,929,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,instagram,threads,letoai add,add text,instant save,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/tj/app/threads/id6446901002?uo=4
11,Google - More ways to search,Trending,Google,Utilities,4.63129,1291,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google translate,word search,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/google-more-ways-to-search/id284815942?uo=4
12,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.76498,7191,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,number whatsapp,whatsapp business,whatsapp messenger,build and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/whatsapp-business/id1386412985?uo=4
13,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.96676,2166,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,travel data,use with,telegram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tj/app/telegram-messenger/id686449807?uo=4
14,VK Видео: кино и мультфильмы,Trending,V Kontakte OOO,Entertainment,4.75,264,2023-10-05,Free,и,видео,онлайн,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,laklak,next,aliexpress,,65.0,65.0,65.0,65.0,,https://apps.apple.com/tj/app/vk-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE-%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B8-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B/id6447614666?uo=4
15,Google Maps,Trending,Google,Navigation,4.85417,768,2023-10-06,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,navigation maps,mapsme offline,offline maps,yandex maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/google-maps/id585027354?uo=4
16,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.67521,34687,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,proxy connect,instagram,videos,hikconnect,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/tj/app/instagram/id389801252?uo=4
17,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.68417,28978,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,number whatsapp,whatsapp business,whatsapp messenger,transfer share,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/whatsapp-messenger/id310633997?uo=4
18,VPN - Top Fast VPN,Trending,Top Free VPN,Utilities,4.85752,365,2024-09-23,Free,vpn,fast,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,hotspot vpn,betternet vpn,vpn master,super vpn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tj/app/vpn-top-fast-vpn/id6514281900?uo=4
