Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.73514,18995,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,100 latest,compare latest,chatgpt,latest,100,100,100,90,90,https://apps.apple.com/tn/app/chatgpt/id6448311069?uo=4
2,"Edits, an Instagram app",Trending,"Instagram, Inc.",Photo & Video,4.71429,42,2025-04-22,Free,videos,video,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,video editor,video editormaker,for instagrambeat,videos,100,100,100,100,90,https://apps.apple.com/tn/app/edits-an-instagram-app/id6738967378?uo=4
3,Google Maps,Trending,Google,Navigation,4.30789,8659,2018-01-22,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,bereal photos,100,100,100,100,100,https://apps.apple.com/tn/app/google-maps/id585027354?uo=4
4,Dabchy,Trending,DABCHY GROUPE,Shopping,4.28877,1451,2017-05-05,Free,des,la,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tinder dating,lifestyle ideas,tinder,ideas,shazam find,100,100,90,90,75,https://apps.apple.com/tn/app/dabchy/id1207403847?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,3.7116,3939,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,instagrambeat,instagram,threads,reel maker,100,90,90,90,75,https://apps.apple.com/tn/app/threads/id6446901002?uo=4
6,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.3583,801,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,aliexpress shopping,shopping app,online shopping,sheinshopping,100,100,100,100,90,https://apps.apple.com/tn/app/shein-shopping-online/id878577184?uo=4
7,inDrive: taxi rides platform,Trending,SUOL INNOVATIONS LTD,Travel,4.73109,8196,2013-12-20,Free,indrive,ride,driver,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,indrive taxi,indrive,gettransfer transfers,taxi food,rides platform,100,90,75,75,75,https://apps.apple.com/tn/app/indrive-taxi-rides-platform/id780125801?uo=4
8,Google - More ways to search,Trending,Google,Utilities,4.24101,4087,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google earth,job search,100,100,100,100,100,https://apps.apple.com/tn/app/google-more-ways-to-search/id284815942?uo=4
9,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.34337,10027,2011-07-12,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,spam blocker,spam call,spam,show caller,caller idtrue,100,100,90,75,75,https://apps.apple.com/tn/app/truecaller-caller-id-block/id448142450?uo=4
10,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.2724,1373,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for telegram,telegram messenger,telegram,data,social network,100,100,90,90,75,https://apps.apple.com/tn/app/telegram-messenger/id686449807?uo=4
11,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.5225,4687,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,video editor,videos music,100,100,100,100,100,https://apps.apple.com/tn/app/capcut-photo-video-editor/id1500855883?uo=4
12,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.23128,14359,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,for snapchat,shareit transfer,file shareshare,shareshare music,100,100,100,100,100,https://apps.apple.com/tn/app/snapchat-chat-with-friends/id447188370?uo=4
13,Glovo: Food & Grocery Delivery,Trending,Glovoapp 23 SL,Lifestyle,4.72184,21534,2015-02-17,Free,order,food,glovo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,and order,order please,glovo food,order,food,100,100,100,90,90,https://apps.apple.com/tn/app/glovo-food-grocery-delivery/id951812684?uo=4
14,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.33592,58300,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,music player,100,100,100,100,100,https://apps.apple.com/tn/app/tiktok-videos-music-live/id835599320?uo=4
15,Gmail - Email by Google,Trending,Google,Productivity,4.58822,4755,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google earth,for gmail,100,100,100,100,100,https://apps.apple.com/tn/app/gmail-email-by-google/id422689480?uo=4
16,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.73886,15356,2011-04-28,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pinterest downloader,pinterest video,pinnable pinterest,pinterest image,pinterest lifestyle,100,100,100,100,100,https://apps.apple.com/tn/app/pinterest-lifestyle-ideas/id429047995?uo=4
17,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.24069,70066,2010-02-17,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,imointernational calls,voice calls,100,100,100,100,100,https://apps.apple.com/tn/app/whatsapp-messenger/id310633997?uo=4
18,Starla - Call the Universe,Trending,Indie Labs LLC,Lifestyle,4.60927,151,2025-03-21,Free,starla,real,terms,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,starla the,bereal photos,real car,real racing,anatomy terms,100,100,100,100,100,https://apps.apple.com/tn/app/starla-call-the-universe/id6741873786?uo=4
19,Yassir,Trending,Yassir Inc.,Travel,4.57118,1756,2017-09-26,Free,yassir,grocery,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yassir driver,yassir store,yassir courier,food grocery,grocery delivery,100,100,100,100,100,https://apps.apple.com/tn/app/yassir/id1239926325?uo=4
20,Instagram,Trending,"Instagram, Inc.",Photo & Video,3.61849,142576,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,videos music,connect mena,bein connect,proxy connect,100,100,100,100,100,https://apps.apple.com/tn/app/instagram/id389801252?uo=4
21,YouTube,Trending,Google,Photo & Video,4.4499,101801,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,available 247,listeners available,videos,available,100,100,100,90,90,https://apps.apple.com/tn/app/youtube/id544007664?uo=4
22,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,3.74586,84658,2011-10-19,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,video editormaker,snapchat chat,chat with,100,100,100,100,100,https://apps.apple.com/tn/app/messenger/id454638411?uo=4
23,Code de la route tunisie,Trending,Kantaben Gorasiya,Productivity,4.47769,852,2023-10-11,Free,road,code,drivers,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,color road,barcode scanner,code reader,road,code,100,100,100,90,90,https://apps.apple.com/tn/app/code-de-la-route-tunisie/id6468992029?uo=4
