Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.625,16,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,trending party,trending songs,trending now,meme trending,trending tik,100,100,100,100,100,https://apps.apple.com/to/app/music-offline-player/id6746770085?uo=4
2,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.66667,108,2022-08-31,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https guard,https now,https video,https only,live chat,100,100,100,100,100,https://apps.apple.com/to/app/ometv-video-chat-alternative/id1252974010?uo=4
3,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.52893,121,2020-04-09,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for snapchat,snapchat chat,tobievoice noteshareconnect,snapchat,noteshareconnect,100,100,100,90,90,https://apps.apple.com/to/app/snapchat-chat-with-friends/id447188370?uo=4
4,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.64126,1076,2020-04-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,tobievoice noteshareconnect,instagram,100,100,100,100,90,https://apps.apple.com/to/app/instagram/id389801252?uo=4
5,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.59999,10,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mtvyour personal,pro movies,mtvyour,movies,remote control,100,100,90,90,75,https://apps.apple.com/to/app/moviebox-movies-tv-shows/id6746160403?uo=4
6,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.85185,54,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cat vpn,turbo vpn,super vpn,vpn super,vpn unlimited,100,100,100,100,100,https://apps.apple.com/to/app/vpn-fast-vpn-super/id1528940523?uo=4
7,Gmail - Email by Google,Trending,Google,Productivity,4.65714,140,2020-04-13,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100,100,100,100,100,https://apps.apple.com/to/app/gmail-email-by-google/id422689480?uo=4
8,ChatGPT,Trending,OpenAI,Productivity,4.79518,166,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt api,with chatgpt,iphonelatest and,for iphonelatest,chatgpt,100,100,100,100,90,https://apps.apple.com/to/app/chatgpt/id6448311069?uo=4
9,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.50889,619,2020-04-10,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,calls allinone,callsfox callpredator,hunting calls,callpredator calls,hunting callsfox,100,100,100,100,100,https://apps.apple.com/to/app/whatsapp-messenger/id310633997?uo=4
10,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.63068,2973,2020-04-10,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,facebook,turner plus,swap lab,related face,100,90,75,75,75,https://apps.apple.com/to/app/facebook/id284882215?uo=4
11,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.39189,222,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ownercom app,capcut,ownercom,sportycom,altcom,100,90,90,90,90,https://apps.apple.com/to/app/capcut-photo-video-editor/id1500855883?uo=4
12,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.71235,1182,2020-04-10,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for tiktok,tiktok maker,tiktok videos,save tiktok,videos,100,100,100,100,90,https://apps.apple.com/to/app/tiktok-videos-music-live/id835599320?uo=4
13,Google - More ways to search,Trending,Google,Utilities,4.42856,42,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100,100,100,100,100,https://apps.apple.com/to/app/google-more-ways-to-search/id284815942?uo=4
14,Threads,Trending,"Instagram, Inc.",Social Networking,4.37255,51,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,vigilant threads,threads marketplace,100,100,100,100,100,https://apps.apple.com/to/app/threads/id6446901002?uo=4
15,ANZ Pacific,Trending,ANZ Banking Group Limited,Finance,4.5,4,2022-05-16,Free,anz,pacific,anz pacific,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,anzcccowe summit,recreation anz,anz digital,anz pacific,anz bloodstock,100,100,100,100,100,https://apps.apple.com/to/app/anz-pacific/id1316832499?uo=4
