Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.78244,318696,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,latest world,chatgpt,latest,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/tr/app/chatgpt/id6448311069?uo=4
2,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.58038,367,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,watch dramas,short dramas,drama shorts,drama watch,flextv drama,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/shortmax-watch-dramas-show/id6464002625?uo=4
3,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.40241,51828,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,enparacom cep,bookingcom travel,https guard,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/temu-shop-like-a-billionaire/id1641486558?uo=4
4,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.32934,7591,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,online shopping,lirum device,device info,device tracker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/shein-shopping-online/id878577184?uo=4
5,Google Maps,Trending,Google,Navigation,4.51606,152568,2015-11-12,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,navigation maps,mapsme offline,offline maps,yandex maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/google-maps/id585027354?uo=4
6,e-Devlet,Trending,Turkiye Cumhuriyeti Cumhurbaskanlıgı Dijital Donusum Ofisi Baskanlıgı,Reference,3.49863,8032,2015-04-11,Free,e,devlet,e devlet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meb eokul,eokul vbs,devlet tiyatrolar,edevlet belge,edevlet anahtar,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/e-devlet/id976505454?uo=4
7,e-Nabız,Trending,T.C. Saglik Bakanligi,Medical,4.73923,547846,2015-04-04,Free,sağlık,e,nabız,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meb eokul,eokul vbs,eokul,google,ebilet,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/tr/app/e-nab%C4%B1z/id980446169?uo=4
8,sahibinden #AlSatKiralaKesfet,Trending,sahibinden.com,Shopping,4.69227,2777858,2011-02-18,Free,listings,sahibinden,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,property listings,listings usa,sahibinden pro,sahibinden alsatkiralakesfet,alibabacom b2b,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/sahibinden-alsatkiralakesfet/id418535251?uo=4
9,Yemeksepeti: Food & Grocery,Trending,YEMEK SEPETI ELEKTRONIK ILETISIM PERAKENDE GIDA LOJISTIK ANONIM SIRKETI,Food & Drink,4.60628,1871059,2010-05-24,Free,yemeksepeti,door,needs,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yemeksepeti partner,yemeksepeti express,yemeksepeti food,deaths door,100 doors,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/yemeksepeti-food-grocery/id373034841?uo=4
10,Google - More ways to search,Trending,Google,Utilities,4.47119,206643,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,fotorus camera,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/google-more-ways-to-search/id284815942?uo=4
11,CDAS,Trending,T.C. Saglik Bakanligi,Medical,4.69754,30970,2020-12-18,Free,randevu,mhrs,için,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pressure companion,easy fitnessheart,blood pressure,fitnessheart rate,checkupnbeti eczane,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tr/app/cdas/id1539508996?uo=4
12,Grok - AI Assistant,Trending,xAI,Productivity,4.87545,14926,2025-01-28,Free,grok,ai,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,filemasterprivacy protection,adblockprivacy,privacy,filemasterprivacy,ai chat,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/tr/app/grok-ai-assistant/id6670324846?uo=4
13,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.60318,88320,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,video editormaker,alibabacom b2b,enparacom cep,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/capcut-photo-video-editor/id1500855883?uo=4
14,Getcontact,Trending,GETVERIFY LDA,Utilities,4.23202,95924,2016-02-03,Free,getcontact,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,enparacom cep,bookingcom travel,https guard,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/getcontact/id1010631459?uo=4
15,Turkcell,Trending,Turkcell Iletisim Hizmetleri A.S.,Utilities,4.48271,445323,2009-10-28,Free,turkcell,section,packages,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,iturkcell online,turkcell north,turkcell bizce,turkcell platinum,section test,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/turkcell/id335162906?uo=4
16,Hepsiburada: Online Shopping,Trending,Hepsiburada,Shopping,4.67543,1740848,2011-11-21,Free,hepsiburada,products,premium,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hepsiburada online,hepsiburada i,hepsiburada,online shopping,i ortam,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/tr/app/hepsiburada-online-shopping/id481035064?uo=4
17,Trendyol Go: Food & Groceries,Trending,TYG TURKEY ELEKTRONIK TICARET HIZMETLERI VE YATIRIMLARI ANONIM SIRKETI,Food & Drink,4.72718,317664,2023-10-11,Free,trendyol,groceries,hundreds,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,getir groceries,groceries foodbeyond,groceries,hundreds,trendyol go,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/tr/app/trendyol-go-food-groceries/id6463031298?uo=4
18,Garanti BBVA Mobile,Trending,T. Garanti Bankasi A.S.,Finance,4.71035,1781391,2012-04-28,Free,garanti,bbva,garanti bbva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,garanti bbva,bbva emeklilik,bbva cep,bbva mobile,bbva kripto,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/garanti-bbva-mobile/id521117624?uo=4
19,Trendyol: Fashion & Trends,Trending,trendyol.com,Shopping,4.63676,4099389,2012-05-10,Free,trendyol,fashion,collection,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online fashion,fashion battle,fashion show,fashion stylist,trendyol fashion,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/trendyol-fashion-trends/id524362642?uo=4
20,Türk Telekom,Trending,TT Mobil Iletisim Hizmetleri A.S.,Utilities,4.35422,1264547,2012-02-08,Free,transactions,application,invoice,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,invoice fly,invoice maker,invoice and,invoice 2go,invoice simple,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/t%C3%BCrk-telekom/id496489138?uo=4
21,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.47658,1050273,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,save tiktok,tiktok studio,tiktok video,videos music,music and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/tiktok-videos-music-live/id835599320?uo=4
22,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.6472,22874,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use color,for use,use with,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/telegram-messenger/id686449807?uo=4
23,obilet: Otel Uçak Otobüs Araç,Trending,OBILET BILISIM SISTEMLERI ANONIM SIRKETI,Travel,4.70129,187350,2013-02-04,Free,obilet,car,ticket,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/tr/app/obilet-otel-u%C3%A7ak-otob%C3%BCs-ara%C3%A7/id596039443?uo=4
24,Ziraat Mobil,Trending,T.C. Ziraat Bankası A.Ş.,Finance,4.7786,1520650,2014-06-22,Free,ziraat,transactions,easily,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ziraat mobil,zborsa ziraat,ziraat yatrm,ziraat trader,ziraat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tr/app/ziraat-mobil/id885993234?uo=4
25,Yandex Go: Taxi Food Delivery,Trending,Mikromobilnost doo,Travel,4.93067,61807,2011-10-26,Free,yandex,delivery,scooters,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yandex navi,yandex mail,yandex browser,yandex maps,yandex disk,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tr/app/yandex-go-taxi-food-delivery/id472650686?uo=4
26,Akbank Mobile,Trending,Akbank T.A.S,Finance,4.77755,1553432,2012-09-17,Free,banking,akbank,loan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,digital banking,mobile banking,banking,odea mobile,finans mobile,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/tr/app/akbank-mobile/id560516360?uo=4
27,Migros - Market & Yemek,Trending,MigrosOne,Shopping,4.73076,312293,2010-10-29,Free,migros,market,sanal,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,file market,market,trendyol go,getir groceries,yemeksepeti food,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/tr/app/migros-market-yemek/id397585390?uo=4
