Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85967,4411,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,web latest,latest version,chatgpt,100,100,100,100.0,90.0,https://apps.apple.com/tt/app/chatgpt/id6448311069?uo=4
2,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.67188,512,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,dictionarycom english,100,100,100,100.0,100.0,https://apps.apple.com/tt/app/temu-shop-like-a-billionaire/id1641486558?uo=4
3,WIRE TUN,Trending,EPIC LABS (Apps),Utilities,4.25,12,2023-05-01,Free,wire,tun,wire tun,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wire tun,gangster injustice,wire ninja,grandma run,ninja sasuke,100,75,75,75.0,75.0,https://apps.apple.com/tt/app/wire-tun/id6447320394?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.5584,1404,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,unicorn https,instagram,threads,https,100,100,90,90.0,90.0,https://apps.apple.com/tt/app/threads/id6446901002?uo=4
5,Invent Life Marketplace,Trending,New Fields Technologies LLC,Shopping,5.0,3,2024-01-09,Free,products,invent,life,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sell products,invent track,invent life,invent smart,life simulator,100,100,100,100.0,100.0,https://apps.apple.com/tt/app/invent-life-marketplace/id6474818167?uo=4
6,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.57911,1226,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,dictionarycom english,bookingcom travel,capcut,100,100,100,100.0,90.0,https://apps.apple.com/tt/app/capcut-photo-video-editor/id1500855883?uo=4
7,Google Maps,Trending,Google,Navigation,4.66715,4840,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real racing,100,100,100,100.0,100.0,https://apps.apple.com/tt/app/google-maps/id585027354?uo=4
8,Google - More ways to search,Trending,Google,Utilities,4.62947,2572,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,word search,100,100,100,100.0,100.0,https://apps.apple.com/tt/app/google-more-ways-to-search/id284815942?uo=4
9,Life360: Find Family & Friends,Trending,Life360,Social Networking,4.76381,1575,2011-07-10,Free,life360,location,family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,find family,family,travel hotel,family locator,hotel flight,100,90,75,75.0,75.0,https://apps.apple.com/tt/app/life360-find-family-friends/id384830320?uo=4
10,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.80471,8905,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos backup,google photos,collage maker,maker studio,sticker maker,100,100,100,100.0,100.0,https://apps.apple.com/tt/app/canva-design-photo-video/id897446215?uo=4
