Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.66873,1126,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series shows,web series,series,hbox movies,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/tz/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.806,28444,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,editor scanner,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/tz/app/chatgpt/id6448311069?uo=4
3,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.59399,1931,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,azamtv max,movies box,azamtv,movies,shows,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/tz/app/moviebox-movies-tv-shows/id6746160403?uo=4
4,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.66167,334,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,popular dramas,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tz/app/netshort-popular-dramas-tv/id6504849169?uo=4
5,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.82545,46136,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt browser,bolt food,bolt request,bolt driver,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/bolt-request-a-ride/id675033630?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.65376,6019,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,unicorn https,https traffic,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/tz/app/threads/id6446901002?uo=4
7,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.66378,4170,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/capcut-photo-video-editor/id1500855883?uo=4
8,Google - More ways to search,Trending,Google,Utilities,4.71657,10842,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/google-more-ways-to-search/id284815942?uo=4
9,Google Maps,Trending,Google,Navigation,4.80898,25559,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps location,maps gps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/google-maps/id585027354?uo=4
10,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.87026,60719,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok lite,tiktok studio,tiktok video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/tiktok-videos-music-live/id835599320?uo=4
11,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.68611,57864,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/whatsapp-business/id1386412985?uo=4
12,Clap Phone Finder AntiTheft,Trending,Esame Marketing Limited,Utilities,3.0,1,2025-01-23,Free,clap,finder,antitheft,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clapring find,prev urbanclap,clap find,phone antitheft,antitheft guard,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/clap-phone-finder-antitheft/id6739862560?uo=4
13,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.65563,56433,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/tz/app/facebook/id284882215?uo=4
14,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.74305,172807,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,boomplay music,shareshare music,videos music,find music,play music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/audiomack-play-music-offline/id921765888?uo=4
15,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.64584,151397,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/whatsapp-messenger/id310633997?uo=4
16,Do Pesa-Loan App In Tanzania,New Discovery,CLAREEN MICROFINANCE LIMITED,Finance,4.67785,149,2025-05-15,Free,ya,na,wa,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wasticker,daily reading,swahili daily,cashcash loan,loan online,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/tz/app/do-pesa-loan-app-in-tanzania/id6744602374?uo=4
17,YouTube,Trending,Google,Photo & Video,4.68408,159827,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,available 247,listeners available,videos,available,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/tz/app/youtube/id544007664?uo=4
18,Blackhole Spliter,Trending,PROGMORE FOR WEB DESIGN AND MANAGEMENT,Utilities,4.74016,1220,2022-05-17,Free,videos,blackhole,spliter,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,blackhole save,blackhole insaverepost,blackhole spliter,spliter app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/blackhole-spliter/id1624635075?uo=4
19,"Xender: File Share,Share Music",Trending,Xender Team,Utilities,4.1352,2966,2014-08-03,Free,transfer,xender,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,documents file,file manager,xender file,file shareshare,files,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tz/app/xender-file-share-share-music/id898129576?uo=4
20,WAMR Recover Deleted Messages,New Discovery,Vivek Warde,Utilities,0.0,0,2025-06-23,Free,wamr,chats,whatsapp,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,whatsapp,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/tz/app/wamr-recover-deleted-messages/id6736562521?uo=4
21,Gmail - Email by Google,Trending,Google,Productivity,4.75347,8940,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/gmail-email-by-google/id422689480?uo=4
22,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.76063,22722,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,friends phone,snapchat chat,for snapchat,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/snapchat-chat-with-friends/id447188370?uo=4
23,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.73313,148872,2011-07-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,videos music,word connect,connect the,fruit connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/tz/app/instagram/id389801252?uo=4
