Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.45892,353,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ippu membership,membership app,audio series,series shows,web series,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.75155,16370,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,editor scanner,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ug/app/chatgpt/id6448311069?uo=4
3,Google - More ways to search,Trending,Google,Utilities,4.63774,11787,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,word search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/google-more-ways-to-search/id284815942?uo=4
4,Google Maps,Trending,Google,Navigation,4.68431,19415,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real chess,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/google-maps/id585027354?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.54816,6084,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,video editor,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/capcut-photo-video-editor/id1500855883?uo=4
6,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.52782,36768,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,build and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/whatsapp-business/id1386412985?uo=4
7,My Airtel Africa,Trending,Airtel Africa,Utilities,4.21439,3419,2019-10-11,Free,airtel,pay,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,airtel africa,airtel thanks,airtel tv,airtel investor,pay uganda,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/my-airtel-africa/id1462268018?uo=4
8,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.78589,56901,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok lite,tiktok studio,tiktok video,save tiktok,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ug/app/tiktok-videos-music-live/id835599320?uo=4
9,YouTube,Trending,Google,Photo & Video,4.57982,111358,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,available 247,listeners available,available,openclassrooms online,holy bible,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ug/app/youtube/id544007664?uo=4
10,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.59959,74915,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,word connect,proxy connect,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ug/app/instagram/id389801252?uo=4
