Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Love Island USA,Trending,ITV America Inc.,Entertainment,2.45251,2022,2019-07-01,Free,island,usa,vote,zodiac islands,island survival,dream island,island farm,kong island,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/love-island-usa/id1465944282?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.86934,2973627,2023-05-18,Free,chatgpt,openai,latest,chatgpt robot,vector chatgpt,chatgpt,uknowai homeworkmath,homeworkmath solver,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/us/app/chatgpt/id6448311069?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.61218,1223839,2023-07-05,Free,instagram,threads,https,for instagram,instagram story,https traffic,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/us/app/threads/id6446901002?uo=4
4,Peacock TV: Stream TV & Movies,Trending,Peacock TV LLC,Entertainment,4.66237,2983350,2020-07-14,Free,peacock,tv,stream,peacock tv,tv stream,hbo tv,hulu stream,xfinity stream,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/peacock-tv-stream-tv-movies/id1508186374?uo=4
5,Google,Trending,Google,Utilities,4.63874,3110430,2019-02-12,Free,search,google,find,wordscapes search,job search,google drive,google photos,google chrome,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/google/id284815942?uo=4
6,Google Maps,Trending,Google,Navigation,4.67811,6741198,2012-12-13,Free,maps,real,explore,offline maps,wildfire maps,maps gps,apple maps,google maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/google-maps/id585027354?uo=4
7,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.62399,61828,2024-07-12,Free,netshort,agreement,subscription,rental agreement,netshort,agreement,reel shorts,short drama,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/us/app/netshort-popular-dramas-tv/id6504849169?uo=4
8,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.69134,15993346,2009-05-04,Free,whatsapp,calls,share,for whatsapp,whatsapp messenger,whatsapp business,iphone calls,shareit transfer,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/whatsapp-messenger/id310633997?uo=4
9,Tea Dating Advice,Trending,Tea Dating Advice Inc.,Lifestyle,4.74092,40400,2023-01-12,Free,dating,tea,date,dating app,bumble dating,bedroom dating,dating date,tinder dating,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/tea-dating-advice/id6444453051?uo=4
10,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.74909,515901,2015-05-30,Free,microsoft,authenticator,passwords,microsoft authenticator,microsoft word,microsoft outlook,microsoft teams,microsoft edge,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/microsoft-authenticator/id983156458?uo=4
11,SHEIN - Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.58716,1105952,2014-05-20,Free,shein,device,access,lost device,unseen device,device analyzer,cast device,internet access,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/shein-shopping-online/id878577184?uo=4
12,Shop: All your favorite brands,Trending,Shopify Inc.,Shopping,4.82258,6045748,2017-11-16,Free,shop,shopping,brands,shopshops designer,wish shop,shop all,temu shop,shop home,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/us/app/shop-all-your-favorite-brands/id1223471316?uo=4
