Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.7416,3573,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/uy/app/temu-shop-like-a-billionaire/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.86222,18718,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,chatgpt,latest,for kids,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/uy/app/chatgpt/id6448311069?uo=4
3,Identidad Digital Abitab,Trending,Abitab,Business,2.87931,58,2024-03-04,Free,de,la,identidad,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,lifestyle ideas,identidad digital,delivery,ideas,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/uy/app/identidad-digital-abitab/id6470038910?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.55759,5131,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,threads,https,duo for,talking videos,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/uy/app/threads/id6446901002?uo=4
5,Disney+,Trending,Disney,Entertainment,4.66566,4965,2020-11-16,Free,disney,originals,blockbusters,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,originals for,the blockbusters,blockbusters title,originals,blockbusters,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/uy/app/disney/id1446075923?uo=4
6,Mercado Libre: Compras Online,Trending,MercadoLibre,Shopping,4.76346,129840,2011-09-09,Free,de,en,online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,lifestyle ideas,compras online,online backup,sheinshopping online,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/uy/app/mercado-libre-compras-online/id463624852?uo=4
7,Magic - TV Magis EventManager,Trending,Appsful LTD,Entertainment,4.57343,572,2021-07-19,Free,movies,tv,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hbo tv,imovie,libre compras,max stream,mercado libre,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/uy/app/magic-tv-magis-eventmanager/id1576860725?uo=4
8,Dazz Cam - Vintage Camera,Trending,DAZZ PTE. LTD.,Photo & Video,4.784,1662,2018-08-17,Free,camera,dazz,film,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vintage camera,film camera,camera remote,vintage film,camera,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/uy/app/dazz-cam-vintage-camera/id1422471180?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.73001,12956,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,vintage camera,film camera,camera remote,search,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/uy/app/google-more-ways-to-search/id284815942?uo=4
10,Prex Uruguay,Trending,Prex,Finance,4.80724,61969,2014-11-11,Free,de,prex,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,lifestyle ideas,delivery,ideas,compras online,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/uy/app/prex-uruguay/id927400689?uo=4
