Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.625,32,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,biometric agreement,behavior agreement,tenancy agreement,agreement clause,rental agreement,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vc/app/netshort-popular-dramas-tv/id6504849169?uo=4
2,Google Maps,Trending,Google,Navigation,4.6768,263,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real cash,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vc/app/google-maps/id585027354?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.8206,301,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,chatgpt,the bear,for kids,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/vc/app/chatgpt/id6448311069?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.59603,151,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,word search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vc/app/google-more-ways-to-search/id284815942?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.53846,78,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,capcut,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/vc/app/capcut-photo-video-editor/id1500855883?uo=4
6,Gmail - Email by Google,Trending,Google,Productivity,4.69564,184,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vc/app/gmail-email-by-google/id422689480?uo=4
7,Life360: Find Family & Friends,Trending,Life360,Social Networking,4.76811,69,2011-07-10,Free,life360,location,family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,track location,phone location,location finder,find family,location,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/vc/app/life360-find-family-friends/id384830320?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.5913,115,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,clean tweetsthreads,unicorn https,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/vc/app/threads/id6446901002?uo=4
9,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.5,30,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movie hub,movie,imovie,workout fitness,fitness planet,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/vc/app/reelshort-stream-drama-tv/id1636235979?uo=4
10,Amazon - Shopping made easy,Trending,AMZN Mobile LLC,Shopping,4.8,165,2011-07-09,Free,amazon,notice,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon prime,amazon fire,amazon alexa,imnotice for,weather noticedaily,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vc/app/amazon-shopping-made-easy/id297606951?uo=4
11,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.59141,1444,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,meet people,facebook,people,business suite,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/vc/app/facebook/id284882215?uo=4
