Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Foodlens: Calorie AI Scanner,New Discovery,Alex Gorohov,Health & Fitness,0.0,0,2025-05-25,Free,calorie,foodlens,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,myfitnesspal calorie,calorie counter,calorie tracker,yazio calorie,calorie,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/vg/app/foodlens-calorie-ai-scanner/id6744031702?uo=4
2,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,road fun,hit color,video creator,3d hit,snake rise,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/vg/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
3,Human Design: BodyGraph,Trending,Alex Gorohov,Lifestyle,0.0,0,2025-05-09,Free,design,human,human design,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,design photo,canva design,humantocat translator,human design,design,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/vg/app/human-design-bodygraph/id6743401750?uo=4
4,ChatGPT,Trending,OpenAI,Productivity,4.76068,234,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chad ai,open chatbot,chat with,chat 40,ai gptchat,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/vg/app/chatgpt/id6448311069?uo=4
5,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.74257,101,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn 360,turbo vpn,super vpn,unlimited vpn,vpn private,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vg/app/vpn-fast-vpn-super/id1528940523?uo=4
6,Gmail - Email by Google,Trending,Google,Productivity,4.72368,152,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,organised email,yahoo mail,gmail,mail,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/vg/app/gmail-email-by-google/id422689480?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.52147,163,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,camera360selfie editor,vintage camera,camera remote,search,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/vg/app/google-more-ways-to-search/id284815942?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.59459,74,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,sneaker threads,unicorn https,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/vg/app/threads/id6446901002?uo=4
9,Alofoke,New Discovery,Hector Romero,Entertainment,0.0,0,2025-07-06,Free,alofoke,de,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alofoke,ltimo minuto,brea frank,llamada duocom,banco digital,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/vg/app/alofoke/id6747955547?uo=4
10,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.41256,1481,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sculpt people,meet people,people,bumble dating,dating app,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/vg/app/facebook/id284882215?uo=4
