Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.66667,3,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,reelshort novel,subscription tracker,movie finder,moviebox pro,pro movies,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vu/app/reelshort-stream-drama-tv/id1636235979?uo=4
2,星乐桃-购物返利优惠券,Trending,勤 程,Shopping,0.0,0,2020-04-10,Free,帮你,星乐桃,9包邮,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beebusapp,gpt4,listenleap,pickuai,,65.0,65.0,65.0,65.0,,https://apps.apple.com/vu/app/%E6%98%9F%E4%B9%90%E6%A1%83-%E8%B4%AD%E7%89%A9%E8%BF%94%E5%88%A9%E4%BC%98%E6%83%A0%E5%88%B8/id1488064629?uo=4
3,火星女频-超新鲜的女性小说平台,Trending,振东 韩,Book,0.0,0,2020-04-10,Free,系列,火星女频,超新鲜的女性小说平台,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/vu/app/%E7%81%AB%E6%98%9F%E5%A5%B3%E9%A2%91-%E8%B6%85%E6%96%B0%E9%B2%9C%E7%9A%84%E5%A5%B3%E6%80%A7%E5%B0%8F%E8%AF%B4%E5%B9%B3%E5%8F%B0/id1383620498?uo=4
4,抖与淘返利联盟-直播外卖优惠券手音一点快报,Trending,青峰 张,Shopping,0.0,0,2020-04-19,Free,抖与淘返利联盟,直播外卖优惠券手音一点快报,直播价基础上返现,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/vu/app/%E6%8A%96%E4%B8%8E%E6%B7%98%E8%BF%94%E5%88%A9%E8%81%94%E7%9B%9F-%E7%9B%B4%E6%92%AD%E5%A4%96%E5%8D%96%E4%BC%98%E6%83%A0%E5%88%B8%E6%89%8B%E9%9F%B3%E4%B8%80%E7%82%B9%E5%BF%AB%E6%8A%A5/id1301946493?uo=4
5,Smart Switch - Phone Clone .,Trending,晓珍 胡,Productivity,0.0,0,2024-01-14,Free,data,transfer,ensure,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,health data,data recovery,powerball data,data insight,motordata pro,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vu/app/smart-switch-phone-clone/id6474012823?uo=4
6,赛尔微课堂,Trending,北京华夏安科信息技术有限公司,Education,0.0,0,2020-12-08,Free,赛尔微课堂,在线互动学习,离线下载互动学习,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/vu/app/%E8%B5%9B%E5%B0%94%E5%BE%AE%E8%AF%BE%E5%A0%82/id1542953906?uo=4
7,刺猬猫阅读-轻小说阅读神器,Trending,"Hangzhou Fantasy Technology Network Co.,Ltd.",Book,0.0,0,2020-04-10,Free,刺猬猫阅读,热血,原创,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,2017,aiaiso,tikvidstikvids,,,65.0,65.0,65.0,,,https://apps.apple.com/vu/app/%E5%88%BA%E7%8C%AC%E7%8C%AB%E9%98%85%E8%AF%BB-%E8%BD%BB%E5%B0%8F%E8%AF%B4%E9%98%85%E8%AF%BB%E7%A5%9E%E5%99%A8/id993993763?uo=4
8,百度输入法-语音表情斗图输入法,Trending,"Baidu (China) Co., Ltd",Utilities,0.0,0,2020-04-12,Free,百度输入法,点击,tip,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tip calculator,splittip pro,tiptracks,splittip,tips,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/vu/app/%E7%99%BE%E5%BA%A6%E8%BE%93%E5%85%A5%E6%B3%95-%E8%AF%AD%E9%9F%B3%E8%A1%A8%E6%83%85%E6%96%97%E5%9B%BE%E8%BE%93%E5%85%A5%E6%B3%95/id916139408?uo=4
9,天猫-好品牌，好价格，上天猫,Trending,浙江天猫网络有限公司,Shopping,0.0,0,2020-04-19,Free,tmall,products,shopping,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,creative products,understand products,saro gastroproducts,italy products,idle shopping,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/vu/app/%E5%A4%A9%E7%8C%AB-%E5%A5%BD%E5%93%81%E7%89%8C-%E5%A5%BD%E4%BB%B7%E6%A0%BC-%E4%B8%8A%E5%A4%A9%E7%8C%AB/id518966501?uo=4
10,Dicamon - Giải Toán Lý Hóa Anh,Trending,Freez Company Limited,Education,2.0,1,2020-12-28,Free,học,giải,tập,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,y360 cng,vminna hc,ting nht,hc m,nht n4,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/vu/app/dicamon-gi%E1%BA%A3i-to%C3%A1n-l%C3%BD-h%C3%B3a-anh/id1529833740?uo=4
