Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.8808,6099,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with chatgpt,iphonelatest and,for iphonelatest,chatgpt,latesttambola,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/xk/app/chatgpt/id6448311069?uo=4
2,ProCredit Kosova,New Discovery,QUIPU GmbH,Finance,4.77778,9,2025-05-15,Free,banking,procredit,application,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,business banking,banking app,connectmobile banking,mobile banking,banco procredit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/procredit-kosova/id6702027190?uo=4
3,Starla - Call the Universe,Trending,Indie Labs LLC,Lifestyle,4.88235,68,2025-03-21,Free,starla,real,terms,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,starla the,real gang,survive real,real cash,real driving,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/starla-call-the-universe/id6741873786?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.51754,114,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,https guard,https now,https video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,Google Maps,Trending,Google,Navigation,4.86164,1937,2020-08-27,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,real gang,survive real,real cash,real driving,real war,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/google-maps/id585027354?uo=4
6,Wolt Delivery: Food and more,Trending,Wolt Oy,Food & Drink,4.85953,299,2020-04-09,Free,wolt,order,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wolt delivery,wolt courier,taxi order,order food,nail order,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/wolt-delivery-food-and-more/id943905271?uo=4
7,Viva Fresh,Trending,Zombie Soup,Shopping,3.81034,58,2021-11-24,Free,ju,të,në,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live gold,vng ngoi,rexlite gold,gi vng,nebc exam,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/xk/app/viva-fresh/id1580739480?uo=4
8,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.69444,36,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,songpop party,pop tap,piano tiles,amigo partytogo,tatsujin pop,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/xk/app/music-offline-player/id6746770085?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.7358,352,2024-04-23,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/google-more-ways-to-search/id284815942?uo=4
10,VIA eSIM,Trending,Kastriot Gashi,Travel,4.77941,68,2024-11-25,Free,esim,connected,stay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xesim enjoy,esim for,hello esim,travel esim,esim signal,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/via-esim/id6737229366?uo=4
11,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.76889,450,2022-08-31,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https guard,https now,https video,https only,live chat,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/ometv-video-chat-alternative/id1252974010?uo=4
12,Threads,Trending,"Instagram, Inc.",Social Networking,4.79717,1415,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,vigilant threads,threads marketplace,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/threads/id6446901002?uo=4
13,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.27956,93,2020-04-10,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,device finder,stealthllm ondevice,cameradevice cam,detect cameradevice,device bluetooth,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/shein-shopping-online/id878577184?uo=4
14,eKosova,Trending,Ministria e Punëve të Brendshme - Republika e Kosovës,Utilities,4.36364,11,2025-01-31,Free,e,të,elektronike,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,forged youniversity,dragon estore,khmer elearning,apple books,youniversity,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/xk/app/ekosova/id6739941895?uo=4
15,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.78622,10815,2020-04-10,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lil david,live chat,chat often,party game,have never,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/xk/app/facebook/id284882215?uo=4
16,Astra - Life Advice,Trending,Vert Ventures,Lifestyle,4.78788,33,2024-01-09,Free,astra,life,terms,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,astra labs,astra origins,astra therapy,astra shop,astra,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/xk/app/astra-life-advice/id6473748536?uo=4
17,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.81447,10516,2020-04-10,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,tikt video,mtvyour personal,video repost,camera remote,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/xk/app/tiktok-videos-music-live/id835599320?uo=4
18,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.92108,4650,2020-04-10,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audiomack creatorupload,urdu listen,listen and,listen your,audiomack,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/xk/app/audiomack-play-music-offline/id921765888?uo=4
19,"SuperSim: eSIM, 5G & Travel",Trending,Quibli QU,Travel,4.92647,204,2024-08-01,Free,të,për,dhe,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dhe haxh,dhe distributor,dhe odishasams,vjersha dhe,dhe prralla,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/supersim-esim-5g-travel/id6514311738?uo=4
20,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.79885,9187,2020-04-10,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,calls allinone,callsfox callpredator,hunting calls,callpredator calls,hunting callsfox,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/whatsapp-messenger/id310633997?uo=4
21,Vala jone,Trending,Telekomi I Kosoves SH.A.,Utilities,3.79412,34,2023-02-07,Free,të,e,vala,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,forged youniversity,dragon estore,khmer elearning,apple books,vala barnanfn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/vala-jone/id1669714393?uo=4
22,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.52874,887,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capcut,editor music,for stories,color editor,enhancer color,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/xk/app/capcut-photo-video-editor/id1500855883?uo=4
23,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.78533,4039,2020-04-10,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live chat,chat bot,chatkit,watchchats,photovideochat,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/xk/app/messenger/id454638411?uo=4
24,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.34286,35,2022-09-18,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,reelshort novel,subscription tracker,movie finder,moviebox pro,pro movies,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/reelshort-stream-drama-tv/id1636235979?uo=4
25,VPN - Super Unlimited Proxy ™,Trending,Mobile Jump Pte Ltd,Productivity,4.84121,1524,2020-04-12,Free,vpn,servers,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cat vpn,turbo vpn,super vpn,vpn super,vpn unlimited,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/vpn-super-unlimited-proxy/id1370293473?uo=4
26,Google Chrome,Trending,Google,Utilities,4.77548,1118,2020-04-14,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chromebattery now,for chrome,chrome pole,google chrome,chrome and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/google-chrome/id535886823?uo=4
27,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.82129,12713,2020-04-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,tobievoice noteshareconnect,instagram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/xk/app/instagram/id389801252?uo=4
28,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.81191,10719,2020-04-09,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tobievoice noteshareconnect,noteshareconnect,shareatarot,tobievoice,tunemasters,100.0,90.0,90.0,65.0,65.0,https://apps.apple.com/xk/app/snapchat-chat-with-friends/id447188370?uo=4
29,Music Player for youtube,Trending,Brahim el khoulagui,Utilities,4.5899,673,2023-11-21,Free,music,player,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,player pro,video player,player live,smart player,nexusprivacy first,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/music-player-for-youtube/id6470715364?uo=4
30,Kudo eSIM,Trending,Antian Asllani,Travel,5.0,17,2024-08-05,Free,esim,në,një,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xesim enjoy,esim for,hello esim,travel esim,esim signal,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/kudo-esim/id6569216838?uo=4
31,Interex,Trending,Qaush Bytyqi,Shopping,4.0,14,2023-05-22,Free,dhe,interex,të,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dhe haxh,dhe distributor,dhe odishasams,vjersha dhe,dhe prralla,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/interex/id6449186688?uo=4
32,"Hello - Talk, Chat & Meet",Trending,Hello Entertainment,Lifestyle,3.90909,121,2020-04-10,Free,people,hello,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live chat,hello service,hello esim,hello student,hello noah,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/hello-talk-chat-meet/id1079611662?uo=4
33,Rakuten Viber Messenger,Trending,Viber Media SARL.,Social Networking,4.63089,16223,2020-04-10,Free,viber,messages,rakuten,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,viber messenger,rakuten viber,deleted messages,any messages,pgp messages,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/rakuten-viber-messenger/id382617920?uo=4
34,Google Drive – online backup,Trending,Google,Productivity,4.85956,1417,2021-09-29,Free,google,files,drive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/google-drive-online-backup/id507874739?uo=4
35,Booking.com Travel Deals,Trending,Booking.com,Travel,4.92868,1178,2020-04-10,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dewan booking,main booking,booking,yeshapp nightlife,pro wrestling,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/xk/app/booking-com-travel-deals/id367003839?uo=4
36,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.84977,1937,2020-04-10,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/xk/app/pinterest-lifestyle-ideas/id429047995?uo=4
37,Mix VPN - Fast & Unlimited,Trending,MixVpn,Utilities,0.0,0,2023-09-25,Free,vpn,mix,mix vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cat vpn,turbo vpn,super vpn,vpn super,vpn unlimited,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/mix-vpn-fast-unlimited/id6463403383?uo=4
38,Alibaba.com B2B Trade App,Trending,杭州阿里巴巴广告有限公司,Shopping,4.79478,843,2020-04-13,Free,alibaba,com,alibaba com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibaba kebab,alibaba pizzeria,alibaba guide,alibaba,kebab pizzeria,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/xk/app/alibaba-com-b2b-trade-app/id503451073?uo=4
39,Netflix,Trending,"Netflix, Inc.",Entertainment,4.84535,1054,2020-04-21,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cafe netflix,netflix game,global films,filmsshort films,films ott,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/netflix/id363590051?uo=4
40,"Discord – Talk, Play, Hang Out",Trending,"Discord, Inc.",Social Networking,4.82768,766,2020-04-10,Free,friends,chat,hang,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live chat,chat bot,hang yick,hang management,chi hang,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/discord-talk-play-hang-out/id985746746?uo=4
41,Gmail - Email by Google,Trending,Google,Productivity,4.84941,1514,2020-04-13,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/gmail-email-by-google/id422689480?uo=4
42,"VPN Lumos: Open Proxy, Connect",Trending,"LUMOS, OOO",Utilities,4.63514,148,2020-04-10,Free,subscription,period,lumos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,subscription tracker,ovul ovulationperiod,period helper,ovulationperiod tracker,period tracker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/vpn-lumos-open-proxy-connect/id1373844471?uo=4
43,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.8,20,2020-04-10,Free,meitu,vip,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meitu photo,photo storage,pelican photo,meitu,photo,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/xk/app/meitu-photo-video-editor/id416048305?uo=4
44,Waze Navigation & Live Traffic,Trending,Waze Inc.,Navigation,4.73332,15,2020-04-15,Free,waze,road,live,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/xk/app/waze-navigation-live-traffic/id323229106?uo=4
45,My IPKO,Trending,IPKO Telecommunications sh.p.k.,Utilities,3.7,20,2020-04-13,Free,ipko,manage,account,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,comfort account,express eaccount,bank eaccount,eaccount,account,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/xk/app/my-ipko/id1373733354?uo=4
46,GjirafaMall,Trending,"Gjirafa, Inc.",Shopping,4.88889,18,2025-01-22,Free,të,dhe,и,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dhe haxh,dhe distributor,dhe odishasams,vjersha dhe,dhe prralla,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/gjirafamall/id6504552763?uo=4
47,Duolingo - Language Lessons,Trending,Duolingo,Education,4.85422,1660,2020-04-10,Free,duolingo,language,learn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,duolingo abc,focuswarduolingo pomodoro,language diary,language translator,universal language,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/duolingo-language-lessons/id570060128?uo=4
48,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.48421,95,2020-04-17,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,leadertelegram eedition,beach presstelegram,presstelegram prep,tech data,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/xk/app/telegram-messenger/id686449807?uo=4
