Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.62613,5641,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ye/app/chatgpt/id6448311069?uo=4
2,Google Maps,Trending,Google,Navigation,4.52292,5345,2018-01-22,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,real goal,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/google-maps/id585027354?uo=4
3,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.30473,13776,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/tiktok-videos-music-live/id835599320?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.07005,1399,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google meet,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/google-more-ways-to-search/id284815942?uo=4
5,Clever Cleaner: AI CleanUp App,Trending,CleverFiles Inc.,Productivity,0.0,0,2025-02-27,Free,cleaner,clever,clever cleaner,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,storage cleaner,storage cleanerclean,magic cleaner,brain trainingclever,hideclever twist,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/clever-cleaner-ai-cleanup-app/id1666645584?uo=4
6,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.69094,1346,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,data manager,data,1tb cloud,quran majeed,microsoft excel,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ye/app/telegram-messenger/id686449807?uo=4
7,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.28372,10010,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,whatsapp,business,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ye/app/whatsapp-business/id1386412985?uo=4
8,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.32878,1393,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,bookingcom travel,alibabacom,sudokucom,bookingcom,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/ye/app/capcut-photo-video-editor/id1500855883?uo=4
9,Instagram,Trending,"Instagram, Inc.",Photo & Video,3.56823,26072,2011-07-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,connect fast,click connect,proxy connect,videos,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ye/app/instagram/id389801252?uo=4
10,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.33948,7538,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareit transfer,file shareshare,shareshare music,transfer share,share files,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/snapchat-chat-with-friends/id447188370?uo=4
11,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,3.57165,1298,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,sheinshopping,fashion shopping,aliexpress shopping,online fashion,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ye/app/shein-shopping-online/id878577184?uo=4
12,Threads,Trending,"Instagram, Inc.",Social Networking,3.34194,1278,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https guard,unicorn https,https traffic,threads,https,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ye/app/threads/id6446901002?uo=4
13,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.47898,119,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/ye/app/netshort-popular-dramas-tv/id6504849169?uo=4
14,YouTube,Trending,Google,Photo & Video,4.2203,41957,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube music,for youtube,youtube kids,youtube studio,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/youtube/id544007664?uo=4
15,Google Meet,Trending,Google,Social Networking,4.37374,4546,2016-09-02,Free,meet,video,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,app meet,google meet,meet new,google maps,google chrome,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/google-meet/id1096918571?uo=4
16,Jaib - Digital Wallet,Trending,AHD FINANCIAL,Finance,4.40796,201,2023-11-26,Free,jaib,wallet,financial,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,digital wallet,walletbuyholdearn crad,cash ewallet,cfc walletbuyholdearn,apple wallet,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/jaib-digital-wallet/id6472856710?uo=4
17,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.18658,35090,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,voice calls,imointernational calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/whatsapp-messenger/id310633997?uo=4
18,إدارة الملفات (حمّل),Trending,Waraqat Group,Utilities,4.44871,8179,2016-12-20,Free,إمكانية,أو,من,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,handipark norway,sounds detector,emergency sounds,for watch,sounds for,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ye/app/%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA-%D8%AD%D9%85-%D9%84/id1137509279?uo=4
19,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.58297,4309,2011-07-10,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pinterest downloader,pinterest video,pinnable pinterest,pinterest image,pinterest lifestyle,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/pinterest-lifestyle-ideas/id429047995?uo=4
20,VPN - Super Unlimited Proxy ™,Trending,Mobile Jump Pte Ltd,Productivity,4.25728,4501,2018-05-15,Free,vpn,servers,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,super vpn,quark vpn,vpn proxy,secure vpn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/vpn-super-unlimited-proxy/id1370293473?uo=4
21,"VPN Lumos: Open Proxy, Connect",Trending,"LUMOS, OOO",Utilities,4.0799,388,2018-05-08,Free,subscription,period,lumos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clue period,flo period,period tracker,vpn lumos,lumos open,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ye/app/vpn-lumos-open-proxy-connect/id1373844471?uo=4
22,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,3.00842,21723,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,new people,people,sayhi chat,meet new,video editor,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ye/app/facebook/id284882215?uo=4
