Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,SARS Mobile eFiling,Trending,South African Revenue Service,Finance,1.94137,614,2012-09-25,Free,sars,efiling,view,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sars mobile,mobile efiling,skyview lite,tradingview track,sars,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/sars-mobile-efiling/id554610898?uo=4
2,Klarna | Shop now. Pay later.,Trending,Klarna Bank AB,Shopping,1.77083,48,2016-06-22,Free,klarna,pay,shop,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,klarna creator,shopping app,manage pay,pay asap,mobile shopping,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/klarna-shop-now-pay-later/id1115120118?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.86592,90402,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest sightings,web latest,latest version,latest,chat 40,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/za/app/chatgpt/id6448311069?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.60881,22866,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,investingcom stocks,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.3476,24396,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,shopping app,mobile shopping,sheinshopping,shopping,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/za/app/shein-shopping-online/id878577184?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.67213,20731,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,unicorn https,https only,instagrambeat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/threads/id6446901002?uo=4
7,Google Maps,Trending,Google,Navigation,4.73866,159281,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,bereal photos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/google-maps/id585027354?uo=4
8,Pick n Pay asap + SmartShopper,Trending,Pick n Pay,Shopping,3.75174,1434,2013-10-03,Free,pay,smart,order,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,manage pay,pay asap,order taxi,kz order,order food,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/pick-n-pay-asap-smartshopper/id710386543?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.72982,82326,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vintage camera,camera remote,camera,iscanner pdf,doc scanner,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/za/app/google-more-ways-to-search/id284815942?uo=4
10,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.4621,2757,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dstv stream,watch movies,dstv,movies,shows,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/za/app/moviebox-movies-tv-shows/id6746160403?uo=4
11,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.60088,19471,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,investingcom stocks,alibabacom b2b,bookingcom travel,praycom bible,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/capcut-photo-video-editor/id1500855883?uo=4
12,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.40426,62450,2011-07-12,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,truecaller caller,spam blocker,hiya spam,call recorder,truecaller,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/truecaller-caller-id-block/id448142450?uo=4
13,Capitec Bank,Trending,Capitec Bank Limited,Finance,2.72124,5833,2019-10-20,Free,pay,manage,capitec,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,manage pay,pay asap,send manage,manage teams,paypal,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/capitec-bank/id1217842108?uo=4
14,X,Trending,X Corp.,News,4.6917,344525,2009-10-09,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xplane flight,best proxy,open proxy,xscan document,proxy connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/x/id333903271?uo=4
15,RaMusi: Offline Music Player,Trending,EaseClickMobi Co. Ltd.,Music,4.65625,32,2024-07-16,Free,music,ramusi,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,font candy,sport simulator,cool text,kauai south,clash sport,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/za/app/ramusi-offline-music-player/id6544791962?uo=4
16,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.83602,393580,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok lite,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/tiktok-videos-music-live/id835599320?uo=4
17,Gmail - Email by Google,Trending,Google,Productivity,4.7754,61033,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,organised email,yahoo mail,email generator,gmail,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/gmail-email-by-google/id422689480?uo=4
18,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.37901,2620,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,short dramamovie,dramamovie,imovie,font candy,sport simulator,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/za/app/reelshort-stream-drama-tv/id1636235979?uo=4
19,bash™,Trending,The Foschini Group Limited,Shopping,3.61436,3218,2022-07-17,Free,bash,home,store,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fighter bash,baking bash,google home,istore preowned,apple store,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/bash/id1624496280?uo=4
20,Takealot - Mobile Shopping App,Trending,Takealot Online (Pty) Ltd,Shopping,4.79934,596096,2013-04-24,Free,takealot,shop,deals,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shop like,sheinshopping online,wish shop,temu shop,shopping app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/takealot-mobile-shopping-app/id606927881?uo=4
21,YouTube,Trending,Google,Photo & Video,4.68272,714832,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube music,for youtube,youtube kids,youtube studio,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/youtube/id544007664?uo=4
22,Microsoft Teams,Trending,Microsoft Corporation,Business,4.74496,103472,2016-11-02,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,manage teams,microsoft teams,teams,scanner app,google meet,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/za/app/microsoft-teams/id1113153706?uo=4
23,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.77827,208235,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt food,bolt browser,bolt request,bolt driver,ride food,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/bolt-request-a-ride/id675033630?uo=4
24,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.67777,580014,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/za/app/facebook/id284882215?uo=4
25,Payflex - Buy Now Pay Later,Trending,Payflex,Finance,3.39576,283,2021-06-09,Free,payflex,buy,pay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,buy sell,sa buy,luno buy,buy now,buy bitcoin,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/za/app/payflex-buy-now-pay-later/id1571437424?uo=4
26,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.72929,727186,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,videos music,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/za/app/instagram/id389801252?uo=4
27,Ster-Kinekor,Trending,Filmgrail,Entertainment,3.5234,235,2024-10-25,Free,cinema,ster,kinekor,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,metro cinema,hub cinema,cinema,teenster,knotester,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/za/app/ster-kinekor/id6736655302?uo=4
28,VodaPay,Trending,Vodacom,Lifestyle,4.66059,108540,2021-09-20,Free,vodapay,r,loans,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vodapay,african bank,home loan,loan app,ooba home,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/za/app/vodapay/id1544702651?uo=4
29,Netflix,Trending,"Netflix, Inc.",Entertainment,4.79166,115628,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,films photo,rni films,focus privacy,privacy browser,films,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/netflix/id363590051?uo=4
30,MTN App ZA,Trending,MTN South Africa (Pty) LTD,Lifestyle,1.56381,431,2025-02-14,Free,mtn,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pricecheck mtn,mtn momo,for use,use with,mymtn,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/mtn-app-za/id6478032901?uo=4
31,Spotify: Music and Podcasts,Trending,Spotify,Music,4.73792,792488,2019-02-12,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,spotify premium,for spotify,spotify for,spotify music,spotify,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/za/app/spotify-music-and-podcasts/id324684580?uo=4
