Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.49505,404,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series,hbox movies,movies box,hub cinema,100,90,75,75,75,https://apps.apple.com/zw/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.53763,837,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,movies,shows,itunes store,dstv stream,100,90,90,75,75,https://apps.apple.com/zw/app/moviebox-movies-tv-shows/id6746160403?uo=4
3,Tap & GO - Book Rides,Trending,Omni Africa,Travel,3.07143,14,2024-05-07,Free,tap,go,tap go,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,and pay,documents file,magic tiles,piano game,file manager,75,75,75,75,75,https://apps.apple.com/zw/app/tap-go-book-rides/id6502306943?uo=4
4,ChatGPT,Trending,OpenAI,Productivity,4.80593,5895,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100,100,90,90,75,https://apps.apple.com/zw/app/chatgpt/id6448311069?uo=4
5,Google Maps,Trending,Google,Navigation,4.69322,8110,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,real pool,100,100,100,100,100,https://apps.apple.com/zw/app/google-maps/id585027354?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.63391,3969,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,word search,100,100,100,100,100,https://apps.apple.com/zw/app/google-more-ways-to-search/id284815942?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.57122,2008,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,unicorn https,https traffic,instagrambeat,100,100,100,100,90,https://apps.apple.com/zw/app/threads/id6446901002?uo=4
9,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.524,1458,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/capcut-photo-video-editor/id1500855883?uo=4
10,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.26431,367,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,aliexpress shopping,shopping app,shopping made,device policy,100,100,100,100,100,https://apps.apple.com/zw/app/shein-shopping-online/id878577184?uo=4
11,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.55495,182,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,tenancy agreement,agreement clause,legal agreement,netshort,100,100,100,100,90,https://apps.apple.com/zw/app/netshort-popular-dramas-tv/id6504849169?uo=4
12,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.51064,470,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,telegram channel,use bible,use color,100,100,100,100,100,https://apps.apple.com/zw/app/telegram-messenger/id686449807?uo=4
13,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.49275,21193,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,simcity buildit,100,100,100,100,100,https://apps.apple.com/zw/app/whatsapp-business/id1386412985?uo=4
14,EcoCash Zimbabwe,Trending,Econet Wireless Zimbabwe,Finance,3.0,44,2024-05-20,Free,ecocash,money,cash,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ecocash zimbabwe,ecocash app,worldremit money,money transfer,easy cash,100,100,100,100,100,https://apps.apple.com/zw/app/ecocash-zimbabwe/id6478928861?uo=4
15,YouTube,Trending,Google,Photo & Video,4.59013,59961,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube channel,youtube music,for youtube,youtube kids,youtube studio,100,100,100,100,100,https://apps.apple.com/zw/app/youtube/id544007664?uo=4
16,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.1746,126,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/music-offline-player/id6746770085?uo=4
17,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.67786,56439,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/audiomack-play-music-offline/id921765888?uo=4
18,"SHAREit: Transfer, Share Files",Trending,SHAREit Technologies Co. Ltd,Productivity,4.40255,6116,2013-10-31,Free,files,shareit,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dropbox files,share files,shareit transfer,transfer share,shareitvault lock,100,100,100,100,100,https://apps.apple.com/zw/app/shareit-transfer-share-files/id725215120?uo=4
19,Gmail - Email by Google,Trending,Google,Productivity,4.65848,3991,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,for gmail,100,100,100,100,100,https://apps.apple.com/zw/app/gmail-email-by-google/id422689480?uo=4
20,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.5629,151,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,reelshort,popular dramas,short dramamovie,watch dramas,stream drama,90,75,75,75,75,https://apps.apple.com/zw/app/reelshort-stream-drama-tv/id1636235979?uo=4
21,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.60341,47106,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,meet people,ai emoji,rizzkey ai,facebook,100,100,100,100,90,https://apps.apple.com/zw/app/facebook/id284882215?uo=4
22,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.63093,43981,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,videos music,word connect,proxy connect,100,100,100,100,100,https://apps.apple.com/zw/app/instagram/id389801252?uo=4
23,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.69175,12240,2012-05-30,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pinterest downloader,pinterest video,pinnable pinterest,pinterest image,pinterest lifestyle,100,100,100,100,100,https://apps.apple.com/zw/app/pinterest-lifestyle-ideas/id429047995?uo=4
24,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.81935,22098,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100,100,100,100,100,https://apps.apple.com/zw/app/tiktok-videos-music-live/id835599320?uo=4
25,Spotify: Music and Podcasts,Trending,Spotify,Music,4.6786,34157,2021-02-25,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/spotify-music-and-podcasts/id324684580?uo=4
26,Google Chrome,Trending,Google,Utilities,4.69846,7203,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google drive,google photos,100,100,100,100,100,https://apps.apple.com/zw/app/google-chrome/id535886823?uo=4
27,GoodShort - Movies & Dramas,Trending,SINGAPORE NEW READING TECHNOLOGY PTE. LTD.,Entertainment,4.89419,690,2023-06-12,Free,dramas,goodshort,movies,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,popular dramas,watch dramas,movies box,dramas,goodshort,100,100,100,90,90,https://apps.apple.com/zw/app/goodshort-movies-dramas/id6448176203?uo=4
28,Dial A Delivery 2.0,Trending,Simbisa International Franchising Limited,Food & Drink,3.98075,883,2021-04-29,Free,delivery,location,dial,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery 20,food delivery,track location,location tracker,familygps location,100,100,100,100,100,https://apps.apple.com/zw/app/dial-a-delivery-2-0/id1558548503?uo=4
29,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.48529,56799,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,imointernational calls,voice calls,100,100,100,100,100,https://apps.apple.com/zw/app/whatsapp-messenger/id310633997?uo=4
30,Clean Now: Phone Storage Kit,Trending,OneTapRemore,Utilities,0.0,0,2025-03-18,Free,clean,device,contacts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cleaner clean,upcleaner clean,cleanup clean,cleanereasy cleanup,clean storage,100,100,100,100,100,https://apps.apple.com/zw/app/clean-now-phone-storage-kit/id6743194785?uo=4
31,Netflix,Trending,"Netflix, Inc.",Entertainment,4.74188,8004,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for netflix,game netflix,netflix,films,privacy,100,100,90,90,90,https://apps.apple.com/zw/app/netflix/id363590051?uo=4
32,InnBucks,Trending,InnBucks Pvt Ltd,Lifestyle,3.02985,134,2021-07-29,Free,store,rewards,stay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zim rewards,rewards 20,stay safe,stay connect,discover stay,100,100,100,100,100,https://apps.apple.com/zw/app/innbucks/id1578456781?uo=4
33,LinkedIn: Job Search & News,Trending,LinkedIn Corporation,Business,4.74587,2916,2019-02-03,Free,job,linkedin,business,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jobs job,reedcouk job,jora jobs,job search,linkedin job,100,100,100,100,100,https://apps.apple.com/zw/app/linkedin-job-search-news/id288429040?uo=4
34,X,Trending,X Corp.,News,4.60968,28526,2012-06-02,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unlimited proxy,best proxy,open proxy,carx highway,proxy connect,100,100,100,100,100,https://apps.apple.com/zw/app/x/id333903271?uo=4
35,CamScanner - PDF Scanner App,Trending,"INTSIG Information Co., Ltd",Productivity,4.69749,3752,2012-06-03,Free,camscanner,pdf,scan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ocr scanner,scanner app,scan pdf,adobe scan,pdf scanner,100,100,100,100,100,https://apps.apple.com/zw/app/camscanner-pdf-scanner-app/id388627783?uo=4
36,Shazam: Find Music & Concerts,Trending,Apple,Music,4.76837,16734,2019-02-09,Free,music,shazam,song,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/shazam-find-music-concerts/id284993459?uo=4
37,Poppo Live- Live Stream,Trending,Vshow PTE. LTD.,Social Networking,3.42857,7,2021-01-04,Free,live,poppo,poppo live,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live stream,yubidenwa poppo,poppo live,live,poppo,100,100,100,90,90,https://apps.apple.com/zw/app/poppo-live-live-stream/id1544908797?uo=4
38,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.47886,1585,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,snapchat chat,for snapchat,shareit transfer,file shareshare,100,100,100,100,100,https://apps.apple.com/zw/app/snapchat-chat-with-friends/id447188370?uo=4
39,"WPS Office: PDF, Docs, Sheets",Trending,KINGSOFT OFFICE SOFTWARE CORPORATION LIMITED,Productivity,4.66125,738,2019-12-13,Free,pdf,office,wps,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,iscanner pdf,office pdf,edit pdf,pdf doc,pdf docs,100,100,100,100,100,https://apps.apple.com/zw/app/wps-office-pdf-docs-sheets/id1491101673?uo=4
40,"Tubidy : Music, Videos, Songs",Trending,midawi mustafa,Music,4.34314,612,2023-10-24,Free,music,subscription,account,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/tubidy-music-videos-songs/id6470038274?uo=4
41,Cleaner AI: Photo Cleanup,Trending,Codespace Dijital Hizmetler Anonim Şirketi,Utilities,4.24118,170,2024-07-04,Free,cleaner,ai,cleaner ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,upcleaner clean,cleanereasy cleanup,magic cleanereasy,storage cleanerclean,ai emoji,100,100,100,100,100,https://apps.apple.com/zw/app/cleaner-ai-photo-cleanup/id6502456017?uo=4
42,Alibaba.com B2B Trade App,Trending,杭州阿里巴巴广告有限公司,Shopping,4.48067,7656,2012-06-04,Free,alibaba,com,alibaba com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for alibaba,alibabacom b2b,capitalcom trading,bookingcom travel,alibabacom,100,100,100,100,90,https://apps.apple.com/zw/app/alibaba-com-b2b-trade-app/id503451073?uo=4
43,Bible Chat: The Holy Scripture,Trending,Bookvitals APP SRL,Reference,4.79517,1035,2023-05-11,Free,bible,faith,scripture,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kjv bible,bible king,bible offline,holy bible,faith hymns,100,100,100,100,100,https://apps.apple.com/zw/app/bible-chat-the-holy-scripture/id6448849666?uo=4
44,Themify - Widget & Icon Themes,Trending,AIBY,Graphics & Design,4.29851,67,2020-10-02,Free,widgets,themify,widget,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,color widgets,themepack widgets,box widgets,quike widget,locket widget,100,100,100,100,100,https://apps.apple.com/zw/app/themify-widget-icon-themes/id1534126062?uo=4
45,Flo Period & Cycles Tracker,Trending,FLO HEALTH UK LIMITED,Health & Fitness,4.59004,7347,2015-10-03,Free,flo,health,cycle,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flo period,flo game,flo home,flosports watch,cycles tracker,100,100,100,100,100,https://apps.apple.com/zw/app/flo-period-cycles-tracker/id1038369065?uo=4
46,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.51633,11570,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,with friends,video,videos,100,100,100,90,90,https://apps.apple.com/zw/app/messenger/id454638411?uo=4
47,Bible,Trending,Life.Church,Reference,4.76133,23371,2019-02-12,Free,bible,friends,verse,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kjv bible,bible king,bible offline,holy bible,with friends,100,100,100,100,100,https://apps.apple.com/zw/app/bible/id282935706?uo=4
48,NGL: ask me anything,Trending,DeepMoji,Lifestyle,4.60713,3393,2021-12-10,Free,ngl,link,pro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,anything ngl,ngl ask,word link,family link,tplink tether,100,100,100,100,100,https://apps.apple.com/zw/app/ngl-ask-me-anything/id1596550932?uo=4
49,VidMate !,Trending,Le Manh Tien,Photo & Video,3.4375,32,2022-08-24,Free,video,subscription,vid,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,videorama text,mate video,offline video,100,100,100,100,100,https://apps.apple.com/zw/app/vidmate/id1640960419?uo=4
50,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.74009,8022,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,collage maker,video editormaker,canva design,with canva,photo,100,100,100,100,90,https://apps.apple.com/zw/app/canva-design-photo-video/id897446215?uo=4
51,Animatch Peste,New Discovery,Tumay ERMIS,Productivity,0.0,0,2025-07-07,Free,animal,animatch,peste,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,animal transformepic,animatch animal,animatch peste,animal,animatch,100,100,100,90,90,https://apps.apple.com/zw/app/animatch-peste/id6748331035?uo=4
52,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.77283,2179,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt browser,bolt offline,bolt request,bolt driver,rides platform,100,100,100,100,100,https://apps.apple.com/zw/app/bolt-request-a-ride/id675033630?uo=4
53,Google Drive – online backup,Trending,Google,Productivity,4.61233,8946,2012-06-28,Free,google,files,drive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,dropbox files,100,100,100,100,100,https://apps.apple.com/zw/app/google-drive-online-backup/id507874739?uo=4
54,Genora AI – Chat bot & Search,Trending,MOBIWAYS LTD,Productivity,4.55,20,2025-03-18,Free,ai,genora,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ai emoji,rizzkey ai,word search,job search,genora,100,100,100,100,90,https://apps.apple.com/zw/app/genora-ai-chat-bot-search/id6741363138?uo=4
55,Tinder Dating App: Meet & Date,Trending,Tinder LLC,Lifestyle,4.36066,5978,2012-08-03,Free,tinder,date,people,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tinder dating,impossible date,chat date,date tricky,asian date,100,100,100,100,100,https://apps.apple.com/zw/app/tinder-dating-app-meet-date/id547702041?uo=4
56,MyDStv,Trending,Multichoice Support Services (Pty) Ltd,Entertainment,5.0,1,2024-05-02,Free,mydstv,enhanced,look,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,enhanced edition,you look,look like,mydstv,enhanced,100,100,100,90,90,https://apps.apple.com/zw/app/mydstv/id6446250424?uo=4
57,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.23951,572,2012-06-03,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,truecaller caller,spam blocker,truecaller,spam,call,100,100,90,90,90,https://apps.apple.com/zw/app/truecaller-caller-id-block/id448142450?uo=4
58,VPN - Super Unlimited Proxy ™,Trending,Mobile Jump Pte Ltd,Productivity,4.53115,3082,2018-05-15,Free,vpn,servers,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn lumos,turbo vpn,betternet vpn,vpn unlimited,secure vpn,100,100,100,100,100,https://apps.apple.com/zw/app/vpn-super-unlimited-proxy/id1370293473?uo=4
59,InShot - Video Editor,Trending,SHANTANU PTE. LTD.,Photo & Video,4.62047,6437,2015-06-11,Free,inshot,video,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,ai emoji,rizzkey ai,inshot,100,100,100,100,90,https://apps.apple.com/zw/app/inshot-video-editor/id997362197?uo=4
60,Kasi Rider,New Discovery,Vishal Kalaria,Travel,0.0,0,2025-06-27,Free,kasi,rider,kasi rider,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kasi driver,kasi rider,bike rider,highway rider,traffic rider,100,100,100,100,100,https://apps.apple.com/zw/app/kasi-rider/id6747796472?uo=4
61,Themelia: Theme & Widget,Trending,WOOHOO LIMITED,Graphics & Design,4.75,16,2023-10-04,Free,themelia,screen,themes,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,themelia theme,screen recorder,themes for,keyboard themes,icon themes,100,100,100,100,100,https://apps.apple.com/zw/app/themelia-theme-widget/id6467189759?uo=4
62,Bible Offline - KJV Holy Bible,Trending,PANDAS OF CARIBBEAN LIMITED,Book,4.73574,1245,2019-07-29,Free,bible,holy,holy bible,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kjv bible,bible king,bible offline,holy bible,kjv holy,100,100,100,100,100,https://apps.apple.com/zw/app/bible-offline-kjv-holy-bible/id1472850697?uo=4
63,Microsoft Teams,Trending,Microsoft Corporation,Business,4.64372,2223,2016-11-02,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,manage teams,microsoft teams,teams,zoom workplace,scanner app,100,100,90,75,75,https://apps.apple.com/zw/app/microsoft-teams/id1113153706?uo=4
64,VLC media player,Trending,VideoLAN,Photo & Video,3.67692,65,2013-07-19,Free,vlc,media,player,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vlc media,vlc pal,vlc remote,vlc streamer,for vlc,100,100,100,100,100,https://apps.apple.com/zw/app/vlc-media-player/id650377962?uo=4
65,YouTube Music,Trending,Google,Music,4.73661,224,2024-03-12,Free,music,youtube,playlists,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/youtube-music/id1017492454?uo=4
66,Offline Music Player,Trending,Md Zakir Hossain,Music,4.53568,967,2017-07-29,Free,music,offline,terms,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,music and,find music,videos music,100,100,100,100,100,https://apps.apple.com/zw/app/offline-music-player/id1259949354?uo=4
67,Zoom Workplace,Trending,"Zoom Communications, Inc.",Business,4.49608,1149,2012-08-15,Free,zoom,workplace,zoom workplace,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zoom rooms,zoom workplace,workplace for,xerox workplace,workplace from,100,100,100,100,100,https://apps.apple.com/zw/app/zoom-workplace/id546505307?uo=4
